strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	sample_type_intern
2000031027.fna	Bacillus anthracis	1957-08-20	USA	Oklahoma	Bos taurus		A.Br.099	PRJNA264742	SAMN03165113	GCA_000782895.1	Scaffold	64	93	34.9550817	-97.2684063	99.43	0.29	clinical	NCBI	
2000031031.fna	Bacillus anthracis	1957-06-03	USA	Massachusetts	Homo sapiens		A.Br.057	PRJNA264742	SAMN03165114	GCA_000782955.1	Scaffold	84.2	68	42.3788774	-72.032366	99.43	0.29	clinical	NCBI	
2000031038.fna	Bacillus anthracis	1957-06-03					A.Br.054	PRJNA264742	SAMN03165124	GCA_000793565.1	Scaffold	68.5	96			99.43	0.29	unknown	NCBI	
2000031039.fna	Bacillus anthracis	1957-05-04			Bos taurus		A.Br.066	PRJNA264742	SAMN03165116	GCA_000782975.1	Scaffold	77.8	91			99.43	0.29	clinical	NCBI	
2000031052.fna	Bacillus anthracis	1956-06-27	USA	Wyoming	Bos taurus		C.Br.001	PRJNA264742	SAMN03165117	GCA_000782995.1	Scaffold	83.1	90	43.1700264	-107.568534	99.43	0	clinical	NCBI	
2000031055.fna	Bacillus anthracis	1957-XX-XX	USA	USA			A.Br.170	PRJNA514245	SAMN03565954	GCA_029702445.1	Contig	88	44	39.7837304	-100.445882	99.25	0.86	unknown	NCBI	
2000031075.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa	Bos taurus		A.Br.077	PRJNA264742	SAMN03165118	GCA_000783015.1	Scaffold	48	144	-28.8166236	24.991639	99.43	0.29	clinical	NCBI	
2000031709.fna	Bacillus anthracis	1956-05-25	USA	USA			A.Br.052	PRJNA264742	SAMN03165119	GCA_000783035.1	Scaffold	103.1	82	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	
2000031765.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165120	GCA_000783055.1	Scaffold	90.2	93			99.43	0.29	unknown	NCBI	
2000032065.fna	Bacillus anthracis	2001-XX-XX	USA	Texas	Bos taurus		A.Br.001	PRJNA514245	SAMN08557804	GCA_029694505.1	Contig	891	52	31.2638905	-98.5456116	99.43	0.86	clinical	NCBI	
2000032819.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165121	GCA_000783075.1	Scaffold	66.5	113			99.43	0.29	unknown	NCBI	
2000032832.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165122	GCA_000793545.1	Scaffold	72.2	87			99.43	0.29	unknown	NCBI	
2000032839.fna	Bacillus anthracis	1976-XX-XX	USA	Texas		Soil	B.Br.008_(KrugerB)	PRJNA514245	SAMN08557805	GCA_029694525.1	Contig	90	36	31.2638905	-98.5456116	99.3	4.09	environment	NCBI	
2000032879.fna	Bacillus anthracis	1962-04-19					A.Br.076	PRJNA264742	SAMN03165123	GCA_000783095.1	Scaffold	87.7	100			99.43	0.29	unknown	NCBI	
2000032892.fna	Bacillus anthracis	20XX-XX-XX					A.Br.049	PRJNA264742	SAMN03165115	GCA_000782905.1	Scaffold	99.2	104			99.43	0.29	unknown	NCBI	
2000032945.fna	Bacillus anthracis	20XX-XX-XX	USA	USA	Capra aegagrus hircus		A.Br.165	PRJNA514245	SAMN03565955	GCA_029702385.1	Contig	140	59	39.7837304	-100.445882	99.43	0.86	clinical	NCBI	
2000032951.fna	Bacillus anthracis	1958-06-30			Homo sapiens		A.Br.060	PRJNA264742	SAMN03165125	GCA_000783115.1	Scaffold	71.9	92			99.43	0.29	clinical	NCBI	
2000032967.fna	Bacillus anthracis	20XX-XX-XX					A.Br.060	PRJNA264742	SAMN03165126	GCA_000783135.1	Scaffold	74.8	88			99.43	0.29	unknown	NCBI	
2000032968.fna	Bacillus anthracis	20XX-XX-XX					A.Br.060	PRJNA264742	SAMN03165127	GCA_000783155.1	Scaffold	48.2	114			98.82	0.29	unknown	NCBI	
2000032975.fna	Bacillus anthracis	1966-04-01					A.Br.078	PRJNA264742	SAMN03165128	GCA_000783165.1	Scaffold	57.1	69			99.43	0.29	unknown	NCBI	
2000032979.fna	Bacillus anthracis	20XX-XX-XX	USA	New Jersey			A.Br.080	PRJNA264742	SAMN03165129	GCA_000783195.1	Scaffold	62.5	83	40.0757384	-74.4041622	99.43	0.29	unknown	NCBI	
2000032989.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165130	GCA_000783215.1	Scaffold	47	81			99.43	0.29	unknown	NCBI	
2002013094_1956.fna	Bacillus anthracis	1956-12-11	USA	USA		Soil	C.Br.002	PRJNA238050	SAMN03174509	GCA_000832965.1	Complete	473	3	39.7837304	-100.445882	99.43	0.29	environment	NCBI	
2002013094_2014.fna	Bacillus anthracis	1956-12-11					C.Br.002	PRJNA264742	SAMN03165131	GCA_000783235.1	Scaffold	164.1	122	25.029422	-77.3619559849668	99.43	0.29	unknown	NCBI	
2002734279.fna	Bacillus anthracis	1976-XX-XX	USA	Texas		Soil	B.Br.008_(KrugerB)	PRJNA514245	SAMN08557806	GCA_029694545.1	Contig	78	38	31.2638905	-98.5456116	99.43	0.86	environment	NCBI	
2016.AZ.3512.1.7.fna	Bacillus anthracis	2016-XX-XX	Italy	Italy	Capra aegagrus hircus	Blood	A.Br.140_(L1)	PRJNA514245	SAMN13220234	GCA_029695525.1	Contig	110	69	42.6384261	12.674297	99.43	0.29	clinical	NCBI	
21_1088-3.fna	Bacillus anthracis	2021-10-27	Spain	Villanueva de la Serena	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005110	GCA_029692445.1	Contig	67	59	38.99362	-5.736556	99.43	0.29	clinical	NCBI	
21_890-8.fna	Bacillus anthracis	2021-09-13	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005088	GCA_029692525.1	Contig	182	66	39.151944	-5.502931	99.43	0.29	clinical	NCBI	
21_890-9.fna	Bacillus anthracis	2021-09-10	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005089	GCA_029692585.1	Contig	80	72	39.1685	-5.4921	99.43	0.29	clinical	NCBI	
21_891-2.fna	Bacillus anthracis	2021-09-13	Spain	Navalvillar de Pela	Equus caballus caballus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005090	GCA_029692555.1	Contig	70	67	39.0759	-5.4301	99.43	0.29	clinical	NCBI	
21_903-6.fna	Bacillus anthracis	2021-09-10	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005092	GCA_029692605.1	Contig	87	61	39.1685	-5.4921	99.43	1.44	clinical	NCBI	
21_905-13.fna	Bacillus anthracis	2021-09-10	Spain	Navalvillar de Pela	Sus scrofa domesticus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005093	GCA_029692625.1	Contig	81	64	39.1685	-5.4921	99.43	0.29	clinical	NCBI	
21_918-3.fna	Bacillus anthracis	2021-09-20	Spain	Talarrubias	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005094	GCA_029692245.1	Contig	88	64	39.1456	-5.2265	99.43	0.29	clinical	NCBI	
21_926-9.fna	Bacillus anthracis	2021-09-24	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005101	GCA_029692345.1	Contig	53	80	39.0663	-5.4621	99.43	0.29	clinical	NCBI	
21_940-19.fna	Bacillus anthracis	20XX-XX-XX	Spain	Navalvillar de Pela	Sus scrofa		A.Br.11.ESPc	PRJNA514245	SAMN33005106	GCA_029692385.1	Contig	162	60	39.0916315	-5.4681268	99.43	0.86	clinical	NCBI	
21_955-9.fna	Bacillus anthracis	2021-10-01	Spain	Garbayuela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005107	GCA_029692405.1	Contig	164	60	39.0586	-5.0072	99.43	0.86	clinical	NCBI	
2110.fna	Bacillus anthracis	1998-XX-XX	South Africa	Northern Cape Province	Ovis aries	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614342	GCA_009669065.1	Scaffold	38	1123	-29.573402	21.2051361	99.43	0.82	clinical	NCBI	
A005.fna	Bacillus anthracis	1971-XX-XX	Austria	Vienna			A.Br.110	PRJNA1426891	SAMN55897419							99.43	1.41	unknown	this study	german genomes
A019.fna	Bacillus anthracis	20XX-XX-XX	Switzerland				A.Br.110	PRJNA1426891	SAMN55897420							99.43	0.99	unknown	this study	german genomes
A023.fna	Bacillus anthracis	20XX-XX-XX	Slovakia				A.Br.113	PRJNA1426891	SAMN55897421							98.27	4.87	unknown	this study	german genomes
2949_1D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Ovis sp.	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614331	GCA_009669235.1	Contig	145	470	-29.573402	21.2051361	99.43	0.32	clinical	NCBI	
2991_1B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Ovis sp.	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614332	GCA_009669225.1	Contig	199	378	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3-IZSLT.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy			A.Br.140_(L1)	PRJNA695105	SAMN18241468	GCA_022221205.1	Complete	61	3	42.6384261	12.674297	99.43	0.29	unknown	NCBI	
3000496651.fna	Bacillus anthracis	2001-XX-XX	USA	Texas	Bos Taurus 		A.Br.001	PRJNA514245	SAMN08557808	GCA_029694565.1	Contig	99	41	31.2638905	-98.5456116	99.43	0.86	clinical	NCBI	
3000496652.fna	Bacillus anthracis	2008-XX-XX	USA	Montana	Bos Taurus 		A.Br.009_018_(WNA)	PRJNA514245	SAMN08557809	GCA_029694585.1	Contig	84	42	47.3752671	-109.638757	99.43	0.86	clinical	NCBI	
3008_1B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Bos sp.	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614333	GCA_009669275.1	Contig	155	442	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3016.fna	Bacillus anthracis	1936-XX-XX	Iran	Iran	Bos taurus		A.Br.162	PRJNA695105	SAMN13164732	GCA_022220545.1	Complete	58	2	32.6475314	54.5643516	99.43	0.29	clinical	NCBI	
3122_2B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Oryx gazella	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614334	GCA_009669265.1	Contig	168	431	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3132_1B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614335	GCA_009669205.1	Scaffold	201	198	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3154.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA178572	SAMN02470705	GCA_000319695.1	Contig	235	3	42.6073975	25.4856617	99.43	0.29	environment	NCBI	
3166.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA178573	SAMN02470706	GCA_000319715.1	Contig	201	5	42.6073975	25.4856617	99.43	0.29	environment	NCBI	
3186.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria	Bos sp.		A.Br.109	PRJNA1426891								99.43	1.5	unknown	this study	german genomes
BUL-39.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria	Bos sp.		A.Br.109	PRJNA1426891								99.43	0.29	unknown	this study	german genomes
BUL-40.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.105_(Tsiankovskii)	PRJNA1426891	SAMN55897422							99.43	0.29	unknown	this study	german genomes
BUL-41.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.110	PRJNA1426891	SAMN55897423					42.6073975	25.4856617	99.43	0.29	environment	this study	german genomes
3275_2D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province		Soil	A.Br.101	PRJNA510736	SAMN10614336	GCA_009669165.1	Contig	267	751	-29.573402	21.2051361	99.41	0.51	environment	NCBI	
AF256.fna	Bacillus anthracis	2009-XX-XX	Namibia	Mariental	Bos sp.		A.Br.110	PRJNA1426891	SAMN55897424							99.05	1.45	unknown	this study	german genomes
34F2_Sterne.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523112	GCA_002525715.1	Contig	160	69			99.43	0.29	unknown	NCBI	
35.fna	Bacillus anthracis	1991-10-20	Turkey	Yozgat	Homo sapiens	Skin	A.Br.164	PRJNA236040	SAMN03010432	GCA_000833275.1	Complete	324	3	39.7152422	35.170998	99.43	0.29	clinical	NCBI	
3517_1C.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614337	GCA_009669125.1	Contig	166	121	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3517_2C.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614338	GCA_009669145.1	Contig	137	1194	-29.573402	21.2051361	98.85	0.86	clinical	NCBI	
3618_2D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Soil	B.Br.001	PRJNA510736	SAMN10614346	GCA_009669005.1	Contig	178	72	-29.573402	21.2051361	99.43	0.36	clinical	NCBI	
3631_3D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614340	GCA_009669105.1	Contig	189	598	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3631_4C.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614339	GCA_009669135.1	Contig	187	385	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
3631_8D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614341	GCA_009669045.1	Contig	300	882	-29.573402	21.2051361	99.43	0.39	clinical	NCBI	
4-IZSLT.fna	Bacillus anthracis	20XX-XX-XX	Italy	Tuscano			A.Br.142	PRJNA695105	SAMN13164733	GCA_022220665.1	Complete	65	3	37.16775375	-113.682757103829	99.43	0.29	unknown	NCBI	
419.fna	Bacillus anthracis	1990-XX-XX	South Africa	Kruger National Park	Syncerus caffer		A.Br.041/042	PRJNA514245	SAMN15402712	GCA_029695005.1	Contig	290	55	-23.9316231	31.5048950217197	99.43	0.86	clinical	NCBI	
44-NIAH.fna	Bacillus anthracis	20XX-XX-XX					A.Br.089	PRJDB3562	SAMD00026915	GCA_001015005.1	Contig	97	124			99.43	0.29	unknown	NCBI	
5001.fna	Bacillus anthracis	1962-XX-XX	Czech_Republic	Czech_Republic	Bos taurus	spleen	A.Br.129	PRJNA1426891	SAMN55897425					49.8175	15473	99.43	1.44	clinical	this study	czech republic
5002.fna	Bacillus anthracis	1962-XX-XX	Czech_Republic	Czech_Republic	Bos taurus	Hide	A.Br.065	PRJNA1426891	SAMN55897426					49.8175	15473	97.88	1.34	clinical	this study	czech republic
52-40-NIAH.fna	Bacillus anthracis	1940-XX-XX					A.Br.088	PRJDB3563	SAMD00026914	GCA_001015025.1	Contig	391	36			99.43	0.29	unknown	NCBI	
52-G.fna	Bacillus anthracis	2009-XX-XX	Georgia_country	Tbilisi	Bos sp.		A.Br.028	PRJNA224563	SAMN02951870	GCA_000559005.1	Chromosome	112	10	41.6934591	44.8014495	99.43	0.29	clinical	NCBI	
55-VNIIVViM.fna	Bacillus anthracis	2014-06-07	Georgia_country	Tbilisi		Commercial Vial	A.Br.119	PRJNA348802	SAMN05915713	GCA_001835485.1	Scaffold	70	32	41.7151	44.82709999	99.43	0.29	unknown	NCBI	
6166.fna	Bacillus anthracis	1982-XX-XX	Japan	Shizuoka			A.Br.099	PRJNA514245	SAMD00115651	GCA_029702655.1	Contig	58	45	34.9332488	138.0955398	99.43	0.86	unknown	NCBI	
6172.fna	Bacillus anthracis	1982-XX-XX	Japan	Shizuoka			A.Br.015	PRJNA514245	SAMD00115652	GCA_029702465.1	Contig	60	55	34.9332488	138.0955398	99.43	0.86	unknown	NCBI	
7702.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227697	GCA_026559715.1	Complete	182	2			99.43	0.29	unknown	NCBI	
81-1.fna	Bacillus anthracis	1979-XX-XX	Russia	Russia	Homo sapiens	Blood	A.Br.110	PRJNA507081	SAMN10484567	GCA_003860145.1	Contig	80	55	45.572027	41.03259	99.43	0.29	clinical	NCBI	
8903-G.fna	Bacillus anthracis	1997-XX-XX	Georgia_country	Gardabani		Soil	A.Br.094	PRJNA224562	SAMN02951868	GCA_000558965.1	Chromosome	267	9	41.4596178	45.089706	99.43	0.29	environment	NCBI	
A121.fna	Bacillus anthracis	20XX-XX-XX	Russia	Russia			A.Br.113	PRJNA1426891	SAMN55897427							94.25	5.62	unknown	this study	german genomes
9080-G.fna	Bacillus anthracis	1998-XX-XX	Georgia_country	Gardabani		Soil	A.Br.027	PRJNA224558	SAMN02951869	GCA_000558985.1	Chromosome	10	54	41.4596178	45.089706	99.43	0.29	environment	NCBI	
A.Br.003.fna	Bacillus anthracis	20XX-XX-XX	United Kingdom	Scotland	Homo sapiens	Skin	A.Br.015	PRJNA243524	SAMN02736983	GCA_000743825.1	Scaffold	305	8	56.7861112	-4.1140518	99.43	0.29	clinical	NCBI	
A.fna	Bacillus anthracis	1935-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.089	PRJNA514245	SAMEA3735716	GCA_029695605.1	Contig	143	63	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
A0001.fna	Bacillus anthracis	20XX-XX-XX	Turkey	Turkey			A.Br.026	PRJNA514245	SAMN04283829	GCA_029699765.1	Contig	60	50	38.57	35.14	99.43	0.29	unknown	NCBI	
A0002.fna	Bacillus anthracis	20XX-XX-XX	Turkey	Turkey			A.Br.094	PRJNA514245	SAMN04283832	GCA_029700705.1	Contig	71	52	38.57	35.14	99.43	3.16	unknown	NCBI	
A0006.fna	Bacillus anthracis	20XX-XX-XX	Australia	Australia			A.Br.041/042	PRJNA514245	SAMN04283803	GCA_029700565.1	Contig	105	57	-25.16	133.46	99.43	0.86	unknown	NCBI	
A0017.fna	Bacillus anthracis	20XX-XX-XX	Zambia	Zambia			A.Br.039	PRJNA514245	SAMN04283800	GCA_029700505.1	Contig	35	63	-13.8	27.5	99.43	0.48	unknown	NCBI	
A0021.fna	Bacillus anthracis	1997-10-01	Zambia	Western Province	Hippopotamus amphibius		A.Br.039	PRJNA257008	SAMN03862113	GCA_001277085.1	Contig	361.12	32	-15.8543496	23.8016799	99.43	0.29	clinical	NCBI	
A0026.fna	Bacillus anthracis	1992-XX-XX	United Kingdom	United Kingdom	Equus caballus		A.Br.035_036	PRJNA514245	SAMN04283797	GCA_029700485.1	Contig	113	72	52.21	-1.1	99.43	0.86	clinical	NCBI	
A0032.fna	Bacillus anthracis	20XX-XX-XX	China	China		Fur	A.Br.120	PRJNA514245	SAMN04283859	GCA_029699625.1	Contig	73	77	35.51	104.11	99.43	0.86	clinical	NCBI	
A0033.fna	Bacillus anthracis	20XX-XX-XX	China	China		Wool	A.Br.120	PRJNA514245	SAMN04283860	GCA_029700465.1	Contig	68	67	35.51	104.11	99.43	0.86	clinical	NCBI	
A0052.3.fna	Bacillus anthracis	1999-05-01	Poland	Poland		Animal	B.Br.004_(FrenchB)	PRJNA635616	SAMN15046933	GCA_016484455.1	Contig	48.6	101	52	19	99.28	0.29	clinical	NCBI	
A0062.fna	Bacillus anthracis	20XX-XX-XX	Poland	Poland			A.Br.110	PRJNA514245	SAMN04283848	GCA_029700425.1	Contig	99	61	51.55	19.8	99.43	0.86	unknown	NCBI	
A0081.fna	Bacillus anthracis	1998-XX-XX	Germany	Germany		Soil	A.Br.070	PRJNA514245	SAMN04283816	GCA_029699745.1	Contig	62	46	51.9	10.27	99.43	0.29	environment	NCBI	
A0083.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.013	PRJNA514245	SAMN04283833	GCA_029700445.1	Contig	140	59	51.9	10.27	99.43	4.09	unknown	NCBI	
A0091.fna	Bacillus anthracis	1939-XX-XX	South Africa	South Africa			B.Br.008_(KrugerB)	PRJNA514245	SAMN04283795	GCA_029700725.1	Contig	167	39	-30.33	22.56	99.43	5.46	unknown	NCBI	
A0094.fna	Bacillus anthracis	1949-XX-XX	South Africa	South Africa			A.Br.068	PRJNA514245	SAMN04283813	GCA_029700765.1	Contig	238	38	-30.33	22.56	99.43	0.86	unknown	NCBI	
A0096.fna	Bacillus anthracis	1939-XX-XX	South Africa	South Africa			A.Br.068	PRJNA514245	SAMN04283814	GCA_029699725.1	Contig	51	49	-30.33	22.56	99.43	0.29	unknown	NCBI	
A0097.fna	Bacillus anthracis	1938-XX-XX	South Africa	South Africa			A.Br.068	PRJNA514245	SAMN04283815	GCA_029699685.1	Contig	96	40	-30.33	22.56	99.43	0.86	unknown	NCBI	
A0103.fna	Bacillus anthracis	20XX-XX-XX	Turkey	Turkey	Bos taurus		A.Br.093	PRJNA514245	SAMN04283830	GCA_029699665.1	Contig	56	49	38.57	35.14	99.43	0.29	clinical	NCBI	
A0128.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa			A.Br.041/042	PRJNA514245	SAMN04283804	GCA_029700405.1	Contig	78	63	-30.33	22.56	99.43	0.86	unknown	NCBI	
A0148.fna	Bacillus anthracis	1990-XX-XX	Turkey	Turkey	Homo sapiens		A.Br.093	PRJNA514245	SAMN04283831	GCA_029699705.1	Contig	67	48	38.57	35.14	99.43	0.29	clinical	NCBI	
A0150.fna	Bacillus anthracis	1995-XX-XX	Turkey	Turkey	Homo sapiens		A.Br.008_(TEA)	PRJNA514245	SAMN04283864	GCA_029699565.1	Contig	57	65	38.57	35.14	99.43	0.29	clinical	NCBI	
A0174.fna	Bacillus anthracis	20XX-XX-XX					A.Br.019	PRJNA27921	SAMN02470265	GCA_000182055.1	Scaffold		60			95.08	0	unknown	NCBI	
